Entity_Name	Entity_type	Gene_Symbol	Sources	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode_of_pathogenicity	EnsemblId_GRch37	EnsemblId_GRch38	HGNC	Position_Chromosome	Position_GRCh37_Start	Position_GRCh37_End	Position_GRCh38_Start	Position_GRCh38_End	STR_Repeated_Sequence	STR_Normal_Repeats	STR_Pathogenic_Repeats	Region_Haploinsufficiency_Score	Region_Triplosensitivity_Score	Region_Required_Overlap_Percentage	Region_Variant_Type	Region_Verbose_Name
ATF6	gene	ATF6	Expert list;Expert Review Green	Achromatopsia		Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal	Achromatopsia 7 MIM#616517			Achromatopsia;HP:0011516	26063662;26029869		False	3	100;0;0	1.5	True		ENSG00000118217	ENSG00000118217	HGNC:791													
CNGA3	gene	CNGA3	Expert list;Expert Review Green	Achromatopsia		Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal	Achromatopsia 2 MIM#216900			Achromatopsia;HP:0011516	9662398;11536077;17265047		False	3	100;0;0	1.5	True		ENSG00000144191	ENSG00000144191	HGNC:2150													
CNGB3	gene	CNGB3	Expert list;Expert Review Green	Achromatopsia		Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal	Achromatopsia 3 MIM#262300			Achromatopsia;HP:0011516	17265047		False	3	100;0;0	1.5	True		ENSG00000170289	ENSG00000170289	HGNC:2153													
GNAT2	gene	GNAT2	Expert list;Expert Review Green	Achromatopsia		Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal	Achromatopsia 4 MIM#613856			Achromatopsia;HP:0011516	32203983;17251445		False	3	100;0;0	1.5	True		ENSG00000134183	ENSG00000134183	HGNC:4394													
PDE6C	gene	PDE6C	Expert list;Expert Review Green	Achromatopsia		Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal	Achromatopsia-5;Cone dystrophy 4, MIM# 613093			Achromatopsia;HP:0011516	19615668;30080950		False	3	100;0;0	1.5	True		ENSG00000095464	ENSG00000095464	HGNC:8787													
PDE6H	gene	PDE6H	Expert list;Expert Review Green	Achromatopsia		Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal	Achromatopsia 6 MIM#610024			Achromatopsia;HP:0011516	22901948		False	3	100;0;0	1.5	True		ENSG00000139053	ENSG00000139053	HGNC:8790													
RGS9	gene	RGS9	Expert list;Expert Review Green	Achromatopsia		Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal	Bradyopsia MIM#608415			Achromatopsia;HP:0011516	14702087;10676965;29107794		False	3	100;0;0	1.5	True		ENSG00000108370	ENSG00000108370	HGNC:10004													
RGS9BP	gene	RGS9BP	Expert list;Expert Review Green	Achromatopsia		Ophthalmological disorders	BIALLELIC, autosomal or pseudoautosomal	Bradyopsia MIM#608415			Achromatopsia;HP:0011516	14702087;19818506		False	3	100;0;0	1.5	True		ENSG00000186326	ENSG00000186326	HGNC:30304													
ACTA2	gene	ACTA2	Expert Review Green;Melbourne Genomics Health Alliance	Additional findings_Adult		Screening	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Aortic aneurysm, familial thoracic 6, MIM# 611788						False	3	100;0;0	0.166	True		ENSG00000107796	ENSG00000107796	HGNC:130													
ACTC1	gene	ACTC1	Expert Review Green;Melbourne Genomics Health Alliance	Additional findings_Adult		Screening	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Cardiomyopathy, dilated, 1R, MIM# 613424;Cardiomyopathy, hypertrophic, 11, MIM# 612098;Left ventricular noncompaction 4, MIM# 613424						False	3	100;0;0	0.166	True		ENSG00000159251	ENSG00000159251	HGNC:143													
