name	has_suffix	default_type
ID	0	string
CATEGORY	0	string
VAR_TYPE	0	string
CHROM	0	string
POS	0	integer
VAR_LENGTH	0	integer
REF	0	string
ALT	0	string
QUAL	0	float
FILTER	0	string
GENE_ID	0	string
GENE_SYMBOL	0	string
TRANSCRIPT	0	string
HGVSg	0	string
HGVSc	0	string
HGVSp	0	string
VEP_CONSEQUENCE	0	string
CLINVAR	0	string
CLINVAR_ID	0	string
gnomAD_ID	0	string
AF	0	float
genomes_AF	0	float
exomes_AF	0	float
N_HOM_ALT	0	integer
genomes_N_HOM_ALT	0	integer
exomes_N_HOM_ALT	0	integer
N_Cohort	0	integer
SIFT	0	string
PolyPhen	0	string
REVEL	0	float
am_class	0	string
am_pathogenicity	0	float
CADD_PHRED	0	float
CADD_RAW	0	float
SpliceAI_pred	0	string
Donor_Loss	0	float
Donor_Gain	0	float
Acceptor_Loss	0	float
Acceptor_Gain	0	float
AD	1	integer
DP	1	integer
VAF	1	float
GT	1	string
GQ	1	integer
alt_allele_count	1	integer
