name	has_suffix	default_type
AD	1	integer
ALT	0	string
alt_allele_count	1	integer
CATEGORY	0	string
CHROM	0	string
CONSENSUS_REPEAT	0	string
DP	1	integer
FILTER	0	string
FILTERING_OUT	0	string
FILTERING_OUT_EVIDENCE	0	string
FINAL_CLASSIFICATION	0	string
GENE_ID	0	string
GENE_SYMBOL	0	string
GQ	1	string
GT	1	string
HGVSc	0	string
HGVSg	0	string
HGVSp	0	string
ID	0	string
INTERGENIC_BOUNDARY_SPAN_TYPE	0	string
INTERGENIC_NEAREST_DOWNSTREAM_ENH_COORD	0	string
INTERGENIC_NEAREST_DOWNSTREAM_ENH_DIST	0	integer
INTERGENIC_NEAREST_DOWNSTREAM_TAD_COORD	0	string
INTERGENIC_NEAREST_DOWNSTREAM_TAD_DIST	0	integer
INTERGENIC_NEAREST_DOWNSTREAM_TAD_SIZE	0	integer
INTERGENIC_NEAREST_UPSTREAM_ENH_COORD	0	string
INTERGENIC_NEAREST_UPSTREAM_ENH_DIST	0	integer
INTERGENIC_NEAREST_UPSTREAM_TAD_COORD	0	string
INTERGENIC_NEAREST_UPSTREAM_TAD_DIST	0	integer
INTERGENIC_NEAREST_UPSTREAM_TAD_SIZE	0	integer
INTERGENIC_OVERLAPPING_ENHANCER_COUNT	0	integer
INTERGENIC_OVERLAPPING_ENHANCERS	0	string
INTERGENIC_SVTYPE	0	string
INTRON_DIST_5P	0	string
INTRON_DIST_3P	0	string
INTRON_END	0	string
INTRON_GENE_ID	0	string
INTRON_ID	0	string
INTRON_LENGTH	0	integer
INTRON_MIN_DIST	0	string
INTRON_POS	0	string
INTRON_START	0	string
INTRON_STRAND	0	string
INTRON_TX_CHOICE	0	string
KEEPING	0	string
KEEPING_EVIDENCE	0	string
POS	0	integer
PRIORITISED	0	string
QUAL	0	float
REF	0	string
RM_CLASSIFICATION	0	string
RM_RECIPROCAL	0	string
RM_TOTAL_SV_COVERAGE	0	float
SVLOG_CONSEQUENCE	0	string
SVLOG_ID	0	string
TRANSCRIPT	0	string
TRF_CLASSIFICATION	0	string
TRF_COPY_NUMBER	0	string
TRF_PERIOD_SIZE	0	string
TRF_SV_COVERAGE	0	string
TRF_TOTAL_SV_COVERAGE	0	float
VAF	1	float
VAR_LENGTH	0	integer
VAR_TYPE	0	string
VEP_CONSEQUENCE	0	string
